year,Season_type,RANK,PLAYER,"['TEAM', 'GP', 'MIN', 'FGM', 'FGA', 'FG_PCT', 'FG3M', 'FG3A', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'REB', 'AST', 'STL', 'BLK', 'TOV', 'PF', 'PTS', 'AST_TOV']"
2012-13,Playoffs,1,LeBron James,"['MIA', '23', '960', '212', '432', '0.491', '36', '96', '0.375', '136', '175', '0.777', '37', '156', '193', '152', '41', '18', '70', '43', '596', '2.17']"
2012-13,Playoffs,2,Tony Parker,"['SAS', '21', '765', '167', '365', '0.458', '11', '31', '0.355', '87', '112', '0.777', '14', '54', '68', '146', '24', '3', '53', '26', '432', '2.75']"
2012-13,Playoffs,3,Tim Duncan,"['SAS', '21', '735', '151', '321', '0.47', '0', '1', '0.0', '79', '98', '0.806', '54', '160', '214', '40', '18', '34', '42', '53', '381', '0.95']"
2012-13,Playoffs,4,Paul George,"['IND', '19', '780', '119', '277', '0.43', '34', '104', '0.327', '93', '128', '0.727', '16', '125', '141', '96', '25', '9', '75', '72', '365', '1.28']"
2012-13,Playoffs,5,Dwyane Wade,"['MIA', '22', '782', '144', '315', '0.457', '1', '4', '0.25', '60', '80', '0.75', '38', '64', '102', '105', '38', '23', '58', '45', '349', '1.81']"
2012-13,Playoffs,6,Carmelo Anthony,"['NYK', '12', '481', '126', '310', '0.406', '17', '57', '0.298', '77', '87', '0.885', '11', '68', '79', '19', '13', '2', '31', '46', '346', '0.61']"
2012-13,Playoffs,7,Kevin Durant,"['OKC', '11', '485', '112', '246', '0.455', '22', '70', '0.314', '93', '112', '0.83', '7', '92', '99', '69', '14', '12', '43', '26', '339', '1.6']"
2012-13,Playoffs,8,Roy Hibbert,"['IND', '19', '694', '120', '235', '0.511', '0', '0', '0.0', '83', '103', '0.806', '90', '98', '188', '26', '3', '37', '43', '74', '323', '0.6']"
2012-13,Playoffs,9,David West,"['IND', '19', '689', '115', '249', '0.462', '0', '3', '0.0', '72', '94', '0.766', '41', '103', '144', '39', '13', '15', '45', '54', '302', '0.87']"
2012-13,Playoffs,10,Kawhi Leonard,"['SAS', '21', '775', '115', '211', '0.545', '23', '59', '0.39', '31', '49', '0.633', '50', '140', '190', '22', '37', '11', '23', '40', '284', '0.96']"
2012-13,Playoffs,11,Stephen Curry,"['GSW', '12', '497', '102', '235', '0.434', '42', '106', '0.396', '35', '38', '0.921', '5', '41', '46', '97', '20', '2', '40', '35', '281', '2.42']"
